date,question,text,tweetid,userid,username
 Wed Dec 05 09:20:41 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, At 04:00PM 5/DEC/2012 the eye of Typhoon #PabloPH was located at 110km Northwest of Roxas Northern Palawan... http://t.co/RN3BJ3eb,2.76E17,202890266, dost_pagasa
 Wed Dec 05 09:16:02 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, gmanews: UPDATE: Agence France Presse report: #PabloPH leaves trail of destruction 238 dead hundreds missing in... http://t.co/x9GlmfVE,2.76E17,77363670, NoelFCristo
 Wed Dec 05 12:04:12 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, Le typhon #Bopha (la 16e tempÃªte majeure de l'annÃ©e aux Philippines) a fait au moins 238 morts #AFP  http://t.co/imD31Lle,2.76E17,115121190, alucas_afp
 Wed Dec 05 09:07:07 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet," Sad :( ""@rapplerdotcom TOP STORY: (UPDATED) 'Pablo:' At least 238 dead in #Davao Copostela Valley http://t.co/WIApd4M5  #PabloPH""",2.76E17,99270527, gnmyrtl
 Wed Dec 05 11:59:52 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, SEVERE WEATHER BULLETIN NUMBER THIEENTROPICAL CYCLONE WARNING: TYPHOON â€œ#PabloPHâ€ù (BOPHA)ISSUED AT 5:00 PM... http://t.co/X9dXcpdn,2.76E17,202890266, dost_pagasa
 Wed Dec 05 09:10:09 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, #Philippine #death #toll from #Typhoon #Bopha #rises up to over 200 #according to #local #officials  http://t.co/NXbr4hlJ,2.76E17,434065444, TheBronyMontana
 Wed Dec 05 09:17:08 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet,  @gangbadoy: Storm situation update from Davao. #PabloPH #reliefPH  @rockeddavao http://t.co/C0Y9769y,2.76E17,7869822, dailygasms
 Wed Dec 05 12:07:03 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, pagasa: SEVERE WEATHER BULLETIN NUMBER THIEEN TROPICAL CYCLONE WARNING: TYPHOON â€œ#PabloPHâ€ù (BOPHA) ISSUED AT 5:00... http://t.co/FNSC6VKh,2.76E17,18240955, eccallano
 Wed Dec 05 12:18:18 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, Here is the link to the ireport I just shared with you on #CNN http://t.co/QCjBVb4q #Typhoon #Bopha #Philippines,2.76E17,22418925, MariRamosCNN
 Wed Dec 05 12:10:26 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet,  @alucas_afp: Le typhon #Bopha (la 16e tempÃªte majeure de l'annÃ©e aux Philippines) a fait au moins 238 morts #AFP  http://t.co/imD31Lle,2.76E17,93431462, patrickherrero
 Wed Dec 05 12:13:17 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet,  @DevConPH:  @aileenapolo: Google Person Finder activated for #PabloPH - https://t.co/OREKttJ0 @govph @philredcross @pcdspo #gbgph # ...,2.76E17,245278137, TAGAsia
 Wed Dec 05 09:39:52 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, Pagragasa ng tubig sa Cagayan de Oro river sa Marcos Bridge video mula kay Jean Bolger ng CDO. #PabloPH #PanahonTV http://t.co/BLTKvBbo,2.76E17,793180483, PanahonTV
 Wed Dec 05 09:51:41 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, #PabloPH:(DEVELOPING)At least 44 feared killed in ComVal mudslide - http://t.co/7MgKHjCg  http://t.co/3YsBflG0  (via @News5AKSYON),2.76E17,918274489, PHLWorldNews
 Wed Dec 05 09:56:44 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, How you can help victims of Typhoon Pablo through Sagip Kapamilya http://t.co/CPswPWQq #PabloPH #ReliefPH,2.76E17,44728980, ANCALERTS
 Wed Dec 05 11:08:12 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, [NEWS] US laments 'devastation loss of life' from #PabloPH | Read: http://t.co/Bffcx0U4,2.76E17,886167799, CheckPHWEATHER
 Wed Dec 05 11:24:33 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet," Failed Grammar Nazis on Twitter. Haha! http://t.co/7wJsXo3C  @ANCALES: ""...100000 coconut trees felled #PabloPH"" http://t.co/5kvuOEl3",2.76E17,218948986, arniebirds
