"id","sender","message","date","geolat","geolon"
329483886704865280,"azilemkemaru","Iboboto ko tlgah kung sinu mang senator ang magpapa aircon sa buong Pilipinas! Seryoso akoh! :3 #lol","Wed May 01 14:34:14 CST 2013",14.3643302,120.9253735
329490995257413632,"AinjTorres","@risahontiveros I'll pray that you'll get the spot madam! You deserve to be a senator! ???","Wed May 01 15:02:29 CST 2013",14.68424208,120.98102756
329494412587577344,"Wenchie318","with @rochellesychua at a Blogwatch meet up for voters education... #juanvote #elections #instalove… http://t.co/9YJQtWi3FD","Wed May 01 15:16:04 CST 2013",14.58583333,121.059
329494417524289536,"evosieg","Give me back the mayorship! (@ PNR (Alabang Station)) http://t.co/gILgbc0vKs","Wed May 01 15:16:05 CST 2013",14.41688117,121.0476315
329494674299555840,"pastor_ey","Wow! Thank you SMART for being our technology partner here @blogwatchdotph for #juanvote! http://t.co/lkaeiGrzN7","Wed May 01 15:17:06 CST 2013",14.66373,121.02098
329497327406571520,"pastor_ey","Talk about empowering people! Thanks a lot SMART for being our technology partner for #juanvote @blogwatchdotph!","Wed May 01 15:27:39 CST 2013",14.66373,121.02098
329497538191314944,"pastor_ey","Talk about empowering people! Thanks a lot SMART for being our technology partner for #juanvote @blogwatchdotph! http://t.co/TZ6gYp98LS","Wed May 01 15:28:29 CST 2013",14.66373,121.02098
329499631471960064,"astroantiquity","@jotaghealer Ay. Binoto namin sya last elections.","Wed May 01 15:36:48 CST 2013",14.6556714,121.0289468
329500919068753920,"ernestvalencia","Interesting @rapplerdotcom: In Camarines Sur, it’s the Villafuertes’ show http://t.co/voqw61LISR #PHvote","Wed May 01 15:41:55 CST 2013",14.55387077,121.04696396
329502158292672512,"CyenLazam","“@mayamangbulubi: its done ms @cyenlazam I use my 5 email account to vote” - wow thanks!","Wed May 01 15:46:51 CST 2013",14.43588688,120.88817434
329505667977191424,"caloyjaranilla","OA ang pila ng Gateway Cineplex ah! Ang daming walang aircon. #mayorproblems","Wed May 01 16:00:47 CST 2013",14.6229858,121.05697594
329506561858875392,"opelskie26","Wala pang election pero Sure na Sure na sya kaya super pamigay na sya ng Survey Results...
#Laguna… http://t.co/d9UYfWz86K","Wed May 01 16:04:20 CST 2013",14.28275802,121.4123168
329509400140193792,"starneverfades","BPMSHRInc. Election 2013    #igipadmini #smartLTE  #tagsforlikes #tagsforfollowers #igers #igpinay… http://t.co/LtJaCjqS7g","Wed May 01 16:15:37 CST 2013",14.3378277,121.08456736
329515304239628288,"monhere","Vote for candidates who pay their taxes! #BotongBuwisBuhay http://t.co/CdVWSaUscl… http://t.co/DzCkYZcpRp","Wed May 01 16:39:05 CST 2013",14.63257247,121.03288572
329516165661605889,"monhere","#BotongBuwisBuhay @ Abrea Consulting Group http://t.co/OY726SW4Fm","Wed May 01 16:42:30 CST 2013",14.63257247,121.03288572
329522264322236417,"imjoymarasigan","@DevoteesCHAPTER sigee! Once na ibalik na sakin ung laptop I'll help agad! :)","Wed May 01 17:06:44 CST 2013",14.41615,120.95608
329523566687186944,"misterjpmanahan","Has the PBA selection been named for the exhibition against the @ShanghaiSharks on May 7?","Wed May 01 17:11:55 CST 2013",14.69446081,121.11827196
329523885273923585,"heaneris","@KennyBurgers anime lang yung pinanood ko. Boto ako dyan dun sa bestfriend ng lalaki. Nakakaawa yung babae dyan pramis. Hahahaha","Wed May 01 17:13:11 CST 2013",14.62516526,121.05270616
329526305878073344,"eiramnna_21","Wahahaha and Councilor Joy Dawis was giving a free JOY diswashing liquid lol #votewisely http://t.co/rMlTrmSvG0","Wed May 01 17:22:48 CST 2013",14.58622545,121.00797823
329527486268456960,"joysiy","We r #ANGARAngKabataangPinoy &this is what #ANGARAMusikaravan was all about.@sonnyangara is OUR senator!Pls watch- http://t.co/uzoo0TNLdJ |","Wed May 01 17:27:29 CST 2013",14.58896,121.10174
329527595861417984,"itsAndreyuhh","""@epalkabro: Lahat ng nag-like kailangan pinasasalamatan. Ano ka? Tatakbong Mayor?""","Wed May 01 17:27:55 CST 2013",14.7539669,121.0093792
