no. with space,sender,message,date,geolat,geolon
4,tm_delacruz,@ philyanghasban anjan na ata yung bagyong yolanda kaya mahangin . hahahaha,Thu Nov 07 15:22:04 CST 2014,14.5826787,121.0913531
5,PantojaJames,pwede kayang ialay si napoles kay bagyong yolanda ? @ vicegandako hahaha,Thu Nov 07 15:25:42 CST 2014,13.9201236,120.7054311
10,mayrahahah,sunny weather tplex # north2south # ob # weatherbulletin # yolandaph @ youscoopgma @ tplex tarlac city http : / / t.co / l2rdopdjjj,Thu Nov 07 16:04:49 CST 2014,15.5136600,120.6655560
16,1DNarryOfficial,jgh from school .. and yeh .. no classes tomorrow due to the typhoon yolanda ... keep safe mga kababayan ! naway patnubayan kayo ng diyos ! : ) ?,Thu Nov 07 16:38:55 CST 2014,14.3989978,120.9307908
17,zigidYY,grabe para kang si yolanda malayo pa pero ramdam na . wala pa kong sinasabi may banat ka na agad .,Thu Nov 07 16:39:46 CST 2014,14.2298700,121.1509000
20,mackysancon,3 days off . dunno what to do . kung bkit kelan 3 days off tska nmn dumating itong si yolanda .,Thu Nov 07 16:47:49 CST 2014,14.2276722,121.3308974
23,antonlanario,ng dahil kay # napoles nakalimutan ng mga tao na may bagyong nasa bansa .. at mag throwback thursday # maymaipostlang # tbt # throwback # yolandaph,Thu Nov 07 17:03:55 CST 2014,14.5850621,121.0616834
26,privaterj04,yan na oh ! # yolanda,Thu Nov 07 17:25:39 CST 2014,13.9336418,121.1452388
32,LenObrador,oh ayan na si yolanda ..,Thu Nov 07 17:43:23 CST 2014,13.9117208,120.8692104
33,edenmaechua,@ maeloizaa wahahaha. di yan mawawala na yang tnginang yolanda na yan. tss ! prayyyy,Thu Nov 07 17:43:46 CST 2014,14.5569030,121.0460169
37,nicnicoleodeon,no one wants to go to our celeb because of the super typhoon . don &apos;t you want to party &apos; til the world ends ? jk . # arrogantme # welcomeyolanda,Thu Nov 07 17:49:03 CST 2014,14.6472029,120.9944004
41,andrewdelacruzz,naku si ka yolanda maglalandfall na bukas .. plss sa iba ka nalang ma fall taken na kami .. hahaha lol keep safe guys ! : ) # yolanda,Thu Nov 07 18:11:26 CST 2014,14.8333770,120.8159255
42,Amirahbells,@ frzxhm ayaw ni yolanda ng happy gusto niya sad kaya dapat happy lol,Thu Nov 07 18:14:43 CST 2014,14.3715555,121.0553519
46,JENericdrug,i feel bad for visayas . ? # goawayyolanda,Thu Nov 07 18:16:53 CST 2014,14.5340420,121.0225292
51,donnacordova3,# yolanda .. lomayo kana please ... lord .tulongan mnaman kmi ..,Thu Nov 07 18:17:28 CST 2014,14.4225852,120.9945310
53,ramosromana49,@ imrichardyap08 sc ingat po sa pag uwi malakas daw po ang bagyong yolanda .pero sc mas malakas pa po kayo sa bagyong yolanda .,Thu Nov 07 18:17:56 CST 2014,14.6821215,121.0352781
54,CERTIFIEDsoshi,wala namang typhoon yolanda -.-,Thu Nov 07 18:18:02 CST 2014,14.6288269,121.1217346
55,akenkanalang,oh em geee yolanda go away ......,Thu Nov 07 18:18:08 CST 2014,14.5950940,121.0799043
59,AnneBELAY,si yolanda na ba yung ulan na yun ? sana hanggang ganyan ka nlang -.-,Thu Nov 07 18:20:51 CST 2014,14.6750995,121.1211854
60,GreenWorld420,nag sisimula na si yolanda damn . : c,Thu Nov 07 18:22:49 CST 2014,14.5530198,121.0042880
64,donnacordova3,@ aizaseguerra @ abscbnnews.we di nga ... napoles # vs ? yolanda .. haaahhaa,Thu Nov 07 18:30:16 CST 2014,14.4225461,120.9945302
68,jastinedrian,so may byahe pala ako sa leyte on monday . sige lang go kay yolanda lol # yolonda,Thu Nov 07 18:40:10 CST 2014,14.1990704,121.1493345
69,MarkMugot,omg ! ! ! ds it pumasok na talaga c yolanda .. kaloka ( @ greenbelt 3 - @ greenbelttweets w / 8 others ) http : / / t.co / 8cb2wakpnn,Thu Nov 07 18:40:43 CST 2014,14.5517879,121.0219145
72,anettey,my boys keeping themselves informed . stay safe everyone . # yolanda # napoles # nov0713 @ casa obaña http : / / t.co / jf3ibug2jc,Thu Nov 07 18:51:04 CST 2014,14.5750000,121.0373333
73,yvonnetan12,omg umuulan na ! ! # yolandaph be safe everyone,Thu Nov 07 18:51:25 CST 2014,14.4228362,121.0067460
74,jbtbmbrlls,let &apos;s pray that no one will be harm with this storm . be safe and alert everyone ! # yolanda,Thu Nov 07 18:52:38 CST 2014,14.5316713,121.0709600
75,MacBurst,# pnoy executive live message ! safety precautions to public # yolanda # philippines be prepared ! # prayforthephilippines http : / / t.co / rjwigb3isz,Thu Nov 07 18:53:24 CST 2014,14.6188186,120.9987838
76,akenkanalang,@ xysangco si yolanda mukhang nagpaparadamdam na po kasii . .,Thu Nov 07 18:53:57 CST 2014,14.5950614,121.0798849
81,janicepalacio18,good eve ! ! ! maulan na gabi sana umalis na ang bagyong yolanda sana safe lahat ! ! !,Thu Nov 07 19:13:56 CST 2014,14.7364087,120.9749491
83,melvinforever13,go away ! # typhoonyolanda # yolanda at sa fever headache and sipon t.t # sick # fever # headache # sipon … http : / / t.co / r7nca1anlm,Thu Nov 07 19:18:18 CST 2014,14.6519590,121.0251640
85,EMAEzzinggg,kasing lakas ng tama ni yolanda ang pagmamahal ko sayo . korny pero ....,Thu Nov 07 19:22:21 CST 2014,14.4899696,121.2347315
86,donnacordova3,@ abscbnchannel2 .c yolanda bkit visayas lagi ang my kalamidad .. ..,Thu Nov 07 19:24:01 CST 2014,14.4225912,120.9945319
87,herleeey_,@ janelleanneee haha meh too : / haha wala yang si yolanda mahina : d duwag kaya ayaw lumapit sa laguna xddd,Thu Nov 07 19:41:24 CST 2014,14.2572962,121.1280803
88,nhimpa1,magingat po tau sa bagyo yolanda ang lakas nia grabeee lord sa mga tatamaan na bagyo lalo na sa leyte po wag nio po sla papabayaan : (,Thu Nov 07 19:43:16 CST 2014,15.1435045,120.7689076
92,cleowfeyy,super typoon yolanda,Thu Nov 07 19:55:07 CST 2014,14.5333226,121.1451528
93,ihaveabigdenis,nakakatakot yung bagyong yolanda . ? ? visayas ! ? ? ?,Thu Nov 07 19:58:32 CST 2014,14.5977226,121.0291050
95,jasonerlano,w / my bestfriend dadayolanda doing nothing # bonding @ g. reyes st. leveriza pasay city http : / / t.co / jtzhjbzagj,Thu Nov 07 20:04:51 CST 2014,14.5519448,120.9933678
96,ReineirMora,ingat tita @ dorisbigornia jan sa legazpi . # tvpatrol # yolandaph,Thu Nov 07 20:14:42 CST 2014,14.5869686,121.0333004
97,aejypsy,infairness prepared na prepared na ang mga pinoy to welcome yolanda .,Thu Nov 07 20:24:10 CST 2014,13.8414282,121.1653392
100,jhamo_cpa21,walang pasok dahil kay yolanda !,Thu Nov 07 20:25:10 CST 2014,13.9430111,121.1316795
104,siixft,fix ur shit man @ yolanda,Thu Nov 07 20:26:11 CST 2014,14.6698303,121.0800858
107,Bitchylynnnnn,putang inanhg yolanda - _ _ _ -,Thu Nov 07 20:33:59 CST 2014,14.5156247,121.0474201
108,copewithsophiaa,so kung kelan malapit na histo tour tsaka dadaan si yolanda : &apos; ( aw,Thu Nov 07 20:34:10 CST 2014,14.5587616,121.1053648
109,mrcdshon,talkshit ata tong si yolanda,Thu Nov 07 20:35:05 CST 2014,14.4359739,120.9867546
113,jrreguyal21,college students handa na ba kayo sa pakikipaglaban bukas kay yolanda ?,Thu Nov 07 20:49:31 CST 2014,14.4275752,120.9959766
117,ramosromana49,@ imrichardyap08 evening po.malakas daw po ang bagyong yolanda sc pahinga na po wala pa kayong pahinga 2 1 / 2 day po na walang tulog.am pity,Thu Nov 07 21:15:52 CST 2014,14.6819465,121.0349250
118,DaaaavidM,pag ikaw yolanda nangtitrip ka lang ah ! sasapakin kita haha,Thu Nov 07 21:27:58 CST 2014,14.5533400,120.9948700
120,cedrickcapati,@ aybikalyaw kaya nga i suggest you go home na nobody knows what will happen about mareng yolanda,Thu Nov 07 21:32:27 CST 2014,14.3795060,121.0478729
121,Dingdong911,because we &apos;re stronger than # yolanda tuloy ang ligaya ! @ spitmanila # improv thursdays,Thu Nov 07 21:45:24 CST 2014,14.6242060,121.0260961
124,BrookeInManila,@ soleika14 pau cancelled daw concert ng matchbox twenty due to thypoon yolanda .,Fri Nov 08 00:57:13 CST 2014,14.6075400,121.0045800
125,NikkiServando,@ grezelalfoneth pakita si yolanda satin sa manila bukas para my habagat part 4 !,Fri Nov 08 01:00:55 CST 2014,14.5657614,120.9976990
127,chrstnzakery,@ kasyosdc @ novemverrr just fukkin suspend classes . make it hollyday . berbert hautista pls make nov 8 yolanda day . hollyday get dolla day,Fri Nov 08 04:40:02 CST 2014,14.6676880,121.0304399
128,tanjohnRN,because of typhoon yolanda . cancelled flight namen bound for kalibo : ( no more boracay trip for this month .. haaayyy refund ko na lang .,Fri Nov 08 04:59:35 CST 2014,14.6064100,121.0083900
135,lorielrevisaxxx,ayan na si yolanda !,Fri Nov 08 11:09:36 CST 2014,14.5752953,121.0154057
139,stefmonce,“ @ jymntclr : just heard that super typhoon yolanda is the world &apos;s largest typhoon this year . keep safe everyone ! ” woah,Fri Nov 08 11:11:57 CST 2014,14.4009927,120.9844131
144,anajorimae,wag nyo ng hintayin ang bagyo utang na loob yung iba kulang nlng mgcountdown pa &#124; ~ feeling tuloy ni # yolandaph welcome sya sa pinas . # istopet,Fri Nov 08 12:02:38 CST 2014,14.7341758,120.9563447
147,cheersbabyangel,this is the right time to announce suspensions . the yolanda typhoon was recorded as the biggest typhoon on earth ! ! ? ? ?,Fri Nov 08 12:38:25 CST 2014,14.5411836,120.9927947
149,TsinELIAS,sana lamunin na ni bagyong yolanda si janet napoles,Fri Nov 08 13:22:39 CST 2014,14.3870749,120.9891529
152,TheMockingJACE,pati si yolanda ang lakas maka-miss world ... strongest typhoon of the year ang peg # yolandaph,Fri Nov 08 14:12:02 CST 2014,14.7036196,121.0496912
154,HnnhCzrn,what a very very good news ! ! ! ! : ) see you ! ! ! hihi # excited # goawayyolanda @ triixaa,Fri Nov 08 14:59:32 CST 2014,13.9603477,121.6009118
158,MsAir_,felt yolanda &apos;s presence in calamba earlier # yolanda # typhoonyolanda,Fri Nov 08 18:28:07 CST 2014,14.2792444,120.8691139
